,S,I,A,SI,SA,IR,,Ps,P,,SAe,,,,,
35,650753.4815,62994.32341,26997.56718,4742.85433,2032.651856,4421.142595,,0.010439049,0.003154768,,2038.013397,,31.31774866,72.88250413,,0.300553481
36,643977.9753,63316.03515,27135.44363,4715.474785,2020.917765,4441.977339,,0.010492361,0.003170998,,2027.100235,,31.47778826,73.2241624,,0.300641851
37,637241.5828,63589.53259,27252.65683,4684.379512,2007.591219,4459.424704,,0.010537683,0.003184797,,2014.566473,,31.61385772,73.51026108,,0.300728873
38,630549.6121,63814.4874,27349.06603,4649.705112,1992.730762,4473.466951,,0.010574962,0.003196148,,2000.468664,,31.72579328,73.74051182,,0.300814495
39,623907.1762,63990.72556,27424.59667,4611.598381,1976.399306,4484.097484,,0.010604167,0.003205041,,1984.867584,,31.81350784,73.91481548,,0.300898632
40,617319.1785,64118.22646,27479.23991,4570.214002,1958.663144,4491.320207,,0.010625295,0.003211475,,1967.827766,,31.87699061,74.03324181,,0.300981217
41,610790.3014,64197.12026,27513.05154,4525.713138,1939.591345,4495.149169,,0.010638369,0.003215456,,1949.417006,,31.91630583,74.09602162,,0.301062212
42,604324.9969,64227.68422,27526.15038,4478.263205,1919.255659,4495.608841,,0.010643434,0.003216998,,1929.705855,,31.93159086,74.10355733,,0.301141569
43,597927.478,64210.33859,27518.71654,4428.036666,1897.73,4492.733793,,0.01064056,0.003216123,,1908.767126,,31.92305416,74.05641703,,0.301219225
44,591601.7113,64145.64146,27490.9892,4375.208941,1875.089546,4486.567483,,0.010629839,0.003212858,,1886.675408,,31.8909728,73.95531246,,0.301295154
45,585351.4129,64034.28292,27443.26411,4319.958106,1851.410617,4477.162529,,0.010611385,0.003207239,,1863.506582,,31.83568948,73.80110497,,0.301369325
46,579180.0441,63877.0785,27375.89078,4262.4638,1826.7702,4464.580553,,0.010585334,0.003199306,,1839.337357,,31.75760933,73.59479738,,0.301441707
47,573090.8101,63674.96174,27289.26932,4202.905924,1801.245396,4448.890657,,0.01055184,0.003189108,,1814.244821,,31.65719619,73.33752086,,0.301512277
48,567086.6588,63428.97701,27183.84729,4141.46389,1774.913096,4430.169431,,0.010511077,0.003176696,,1788.306021,,31.53496901,73.03052939,,0.301581014
49,561170.2818,63140.27147,27060.11635,4078.315402,1747.849458,4408.500727,,0.010463235,0.003162131,,1761.597575,,31.39149794,72.67518495,,0.301647915
50,555344.117,62810.08615,26918.60835,4013.636072,1720.129745,4383.974463,,0.010408518,0.003145473,,1734.195278,,31.22739982,72.27295563,,0.301712972
51,549610.3511,62439.74776,26759.8919,3947.598622,1691.827981,4356.686134,,0.010347148,0.003126792,,1706.173776,,31.04333411,71.82540529,,0.301776169
52,543970.9245,62030.66024,26584.56868,3880.371667,1663.016429,4326.736482,,0.010279356,0.003106157,,1677.606263,,30.83999874,71.33417416,,0.301837518
53,538427.5364,61584.29543,26393.26947,3812.119413,1633.765463,4294.230736,,0.010205387,0.003083645,,1648.564185,,30.61812544,70.80097422,,0.301897035
54,532981.6516,61102.18411,26186.65033,3743.001658,1604.143568,4259.277819,,0.010125495,0.003059332,,1619.116991,,30.37847525,70.22758939,,0.301954712
55,527634.5063,60585.90794,25965.38912,3673.172594,1574.216826,4221.989946,,0.01003994,0.0030333,,1589.33193,,30.12183455,69.61585244,,0.302010558
56,522387.1169,60037.09059,25730.18168,3602.780085,1544.048608,4182.482001,,0.009948994,0.00300563,,1559.273864,,29.84901069,68.96762895,,0.30206462
57,517240.2882,59457.38868,25481.738,3531.966685,1513.700008,4140.870904,,0.009852929,0.002976407,,1529.005086,,29.56082736,68.28483328,,0.302116897
58,512194.6215,58848.48446,25220.77905,3460.868456,1483.229338,4097.275096,,0.009752025,0.002945716,,1498.585224,,29.25812104,67.56940254,,0.3021674
59,507250.5237,58212.07782,24948.03335,3389.614243,1452.691818,4051.813863,,0.009646563,0.002913644,,1468.071128,,28.94173706,66.82327734,,0.302216182
60,502408.2177,57549.8782,24664.23351,3318.326754,1422.140038,4004.60705,,0.009536827,0.002880276,,1437.516792,,28.61252546,66.04841716,,0.302263264
61,497667.7509,56863.5979,24370.11339,3247.121979,1391.623705,3955.774496,,0.009423101,0.002845701,,1406.973306,,28.27133772,65.24678308,,0.302308659
62,493029.0052,56154.94539,24066.40517,3176.108615,1361.189407,3905.435365,,0.009305667,0.002810004,,1376.488836,,27.91902346,64.42031973,,0.302352415
63,488491.7072,55425.61864,23753.83656,3105.388663,1330.880856,3853.707956,,0.009184808,0.002773273,,1346.108611,,27.55642708,63.5709597,,0.302394572
64,484055.4377,54677.29934,23433.12829,3035.057596,1300.73897,3800.709369,,0.009060801,0.002735591,,1315.874933,,27.18438489,62.7006198,,0.30243515
65,479719.6411,53911.64757,23104.99182,2965.203986,1270.801708,3746.554888,,0.008933921,0.002697043,,1285.827212,,26.80372247,61.81118578,,0.302474189
66,475483.6354,53130.29667,22770.12714,2895.909651,1241.104136,3691.357636,,0.00880444,0.002657712,,1256.00201,,26.4152521,60.90450723,,0.302511737
67,471346.6216,52334.84868,22429.22086,2827.250281,1211.678692,3635.228668,,0.008672623,0.002617679,,1226.433093,,26.01977052,59.98240258,,0.302547826
68,467307.6927,51526.8703,22082.94441,2759.295217,1182.555093,3578.276376,,0.00853873,0.002577022,,1197.151504,,25.61805686,59.04664658,,0.302582491
69,463365.8423,50707.88914,21731.95249,2692.107606,1153.760403,3520.606098,,0.008403013,0.00253582,,1168.185641,,25.21087086,58.09896545,,0.302615777
70,459519.9743,49879.39065,21376.88171,2625.744795,1125.319198,3462.320246,,0.008265719,0.002494147,,1139.561345,,24.79895127,57.1410372,,0.302647727
71,455768.9103,49042.8152,21018.34937,2560.258501,1097.253643,3403.517983,,0.008127087,0.002452076,,1111.301991,,24.38301442,56.17448762,,0.302678383
72,452111.3982,48199.55571,20656.95245,2495.695141,1069.583632,3344.295168,,0.007987347,0.002409677,,1083.42859,,23.96375305,55.20088968,,0.302707777
73,448546.1194,47350.95569,20293.26672,2432.095895,1042.326812,3284.744114,,0.007846722,0.002367018,,1055.959887,,23.54183531,54.22175759,,0.302735952
74,445071.6967,46498.30747,19927.84606,2369.497026,1015.498725,3224.953425,,0.007705426,0.002324164,,1028.912472,,23.11790391,53.23854658,,0.302762946
75,441686.701,45642.85107,19561.22189,2307.930115,989.1129066,3165.007975,,0.007563665,0.002281177,,1002.300884,,22.69257556,52.25265126,,0.302788804
76,438389.6579,44785.77321,19193.9028,2247.422349,963.1810066,3104.98895,,0.007421635,0.002238118,,976.1377202,,22.26644043,51.26540529,,0.302813566
77,435179.0546,43928.20661,18826.37426,2187.996846,937.7129339,3044.973774,,0.007279524,0.002195042,,950.4337459,,21.84006183,50.27808261,,0.302837268
78,432053.3448,43071.22968,18459.09843,2129.672771,912.7169021,2985.036045,,0.007137511,0.002152005,,925.1979992,,21.41397608,49.29189409,,0.302859947
79,429010.9551,42215.86641,18092.51417,2072.465621,888.1995518,2925.245552,,0.006995765,0.002109058,,900.4378985,,20.98869243,48.30798832,,0.302881642
80,426050.29,41363.08647,17727.03706,2016.387491,864.1660674,2865.668248,,0.006854447,0.002066248,,876.1593454,,20.56469309,47.32745261,,0.302902388
81,423169.7364,40513.80572,17363.05959,1961.447272,840.6202596,2806.366376,,0.00671371,0.002023623,,852.3668285,,20.14243353,46.35131257,,0.302922225
82,420367.6689,39668.88661,17000.95141,1907.650913,817.564677,2747.398466,,0.006573695,0.001981225,,829.06352,,19.72234264,45.38053362,,0.302941187
83,417642.4533,38829.13906,16641.0596,1855.001655,795.0007091,2688.819405,,0.006434537,0.001939095,,806.2513716,,19.30482319,44.41602237,,0.302959307
84,414992.4509,37995.32131,16283.70913,1803.500159,772.9286396,2630.68049,,0.006296361,0.001897271,,783.9312075,,18.89025224,43.45862569,,0.302976619
85,412416.0221,37168.14098,15929.20328,1753.144796,751.3477698,2573.029518,,0.006159286,0.001855787,,762.1028118,,18.47898168,42.50913404,,0.302993156
86,409911.5296,36348.25626,15577.82411,1703.9318,730.2564858,2515.910866,,0.006023419,0.001814677,,740.7650135,,18.07133882,41.56828187,,0.30300895
87,407477.3413,35536.27719,15229.83308,1655.855435,709.6523291,2459.36559,,0.005888863,0.001773972,,719.9157676,,17.667627,40.63674877,,0.303024031
88,405111.8335,34732.76704,14885.47159,1608.908221,689.5320949,2403.431527,,0.00575571,0.001733698,,699.5522313,,17.26812632,39.71516229,,0.30303843
89,402813.3932,33938.24373,14544.9616,1563.081053,669.89188,2348.143389,,0.005624046,0.001693882,,679.6708374,,16.87309431,38.80409837,,0.303052175
90,400580.4203,33153.1814,14208.50631,1518.363367,650.7271571,2293.532874,,0.00549395,0.001654548,,660.267363,,16.48276675,37.90408342,,0.303065294
