,0,1,2,3,4,5,,Ps,Ps(1-mu)/(1-muPs),,(SPsMu-SI)/SI,SPs(1-Mu)-SA)/SA,,SA|SI -SA)/SA
38,803788.8892,45085.85377,19322.50876,4236.47767,1815.633287,3192.593108,,0.007471363,0.002246444,,0.007718419,0.007718419,,0.010731016
39,797736.7782,46129.73834,19769.88786,4300.035808,1842.872489,3265.355463,,0.007644349,0.002298576,,0.007281561,0.007281561,,0.010363066
40,791593.8699,47164.41868,20213.32229,4360.691246,1868.867677,3337.397339,,0.00781581,0.002350254,,0.006840216,0.006840216,,0.009989964
41,785364.311,48187.71259,20651.87682,4418.259386,1893.539737,3408.564966,,0.007985384,0.002401368,,0.006394883,0.006394883,,0.009612064
42,779052.5119,49197.40701,21084.603,4472.563221,1916.812809,3478.702476,,0.008152705,0.002451808,,0.005945919,0.005945919,,0.009229575
43,772663.1358,50191.26775,21510.54332,4523.435472,1938.615202,3547.653012,,0.008317402,0.002501462,,0.005493758,0.005493758,,0.008842784
44,766201.0852,51167.05021,21928.73581,4570.719994,1958.879997,3615.259592,,0.008479103,0.002550218,,0.005038946,0.005038946,,0.008452087
45,759671.4852,52122.51061,22338.21883,4614.272084,1977.545179,3681.365481,,0.008637436,0.002597963,,0.00458196,0.00458196,,0.008057814
46,753079.6679,53055.41722,22738.03595,4653.959545,1994.554091,3745.814977,,0.008792032,0.002644585,,0.004123217,0.004123217,,0.007660235
47,746431.1543,53963.56179,23127.24077,4689.664585,2009.856251,3808.454892,,0.008942524,0.002689974,,0.003663278,0.003663278,,0.007259764
48,739731.6334,54844.77148,23504.90206,4721.283844,2023.407362,3869.134804,,0.009088553,0.00273402,,0.00320267,0.00320267,,0.006856786
49,732986.9422,55696.92052,23870.10879,4748.729039,2035.169588,3927.707591,,0.009229766,0.002776618,,0.002741867,0.002741867,,0.006451637
50,726203.0436,56517.94197,24221.97513,4771.928061,2045.112026,3984.031104,,0.009365821,0.002817663,,0.002281395,0.002281395,,0.006044707
51,719386.0035,57305.83892,24559.64525,4790.825105,2053.210759,4037.968477,,0.009496387,0.002857056,,0.001821763,0.001821763,,0.005636375
52,712541.9677,58058.69555,24882.29809,4805.38126,2059.449112,4089.388574,,,,,,,,
53,705677.1373,58774.68824,25189.1521,4815.574318,2063.817565,4138.167257,,,,,,,,
54,698797.7454,59452.0953,25479.46941,4821.398805,2066.313774,4184.187956,,,,,,,,
55,691910.0328,60089.30615,25752.55978,4822.866483,2066.942779,4227.342069,,,,,,,,
56,685020.2236,60684.83056,26007.78453,4820.005718,2065.716736,4267.529652,,,,,,,,
57,678134.5011,61237.30663,26244.55998,4812.860382,2062.65445,4304.660078,,,,,,,,
58,671258.9863,61745.50693,26462.36011,4801.490315,2057.781564,4338.652344,,,,,,,,
59,664399.7144,62208.3449,26660.71924,4785.971215,2051.130521,4369.435526,,,,,,,,
60,657562.6127,62624.88059,26839.23454,4766.391789,2042.739338,4396.94897,,,,,,,,
61,650753.4815,62994.32341,26997.56718,4742.85433,2032.651856,4421.142595,,,,,,,,
62,643977.9753,63316.03515,27135.44363,4715.474785,2020.917765,4441.977339,,,,,,,,
63,637241.5828,63589.53259,27252.65683,4684.379512,2007.591219,4459.424704,,,,,,,,
64,630549.6121,63814.4874,27349.06603,4649.705112,1992.730762,4473.466951,,,,,,,,
65,623907.1762,63990.72556,27424.59667,4611.598381,1976.399306,4484.097484,,,,,,,,
66,617319.1785,64118.22646,27479.23991,4570.214002,1958.663144,4491.320207,,,,,,,,
67,610790.3014,64197.12026,27513.05154,4525.713138,1939.591345,4495.149169,,,,,,,,
68,604324.9969,64227.68422,27526.15038,4478.263205,1919.255659,4495.608841,,,,,,,,
69,597927.478,64210.33859,27518.71654,4428.036666,1897.73,4492.733793,,,,,,,,
70,591601.7113,64145.64146,27490.9892,4375.208941,1875.089546,4486.567483,,,,,,,,
71,585351.4129,64034.28292,27443.26411,4319.958106,1851.410617,4477.162529,,,,,,,,
